Folder Name,Size,Path,File Count,Last Modified,Depth,Parent Folder,Size (MB)
Users,214959775859,C:\Users,922080,2023-03-20 21:43:19.070737664,0,C:\,205001.61729717255
teddi,214956463150,C:\Users\teddi,921973,2023-09-14 16:41:17.299205632,1,C:\Users,204998.45805168152
Documents,59896609756,C:\Users\teddi\Documents,521628,2023-08-02 17:55:19.787857408,2,C:\Users\teddi,57121.858364105225
AppData,54994530291,C:\Users\teddi\AppData,263891,2022-10-19 01:03:47.720347136,2,C:\Users\teddi,52446.871081352234
Local,51371281155,C:\Users\teddi\AppData\Local,225619,2023-09-16 05:47:27.190166016,3,C:\Users\teddi\AppData,48991.4714384079
Windows,35919480022,C:\Windows,124232,2023-09-16 21:46:04.190335744,0,C:\,34255.485555648804
ProgramData,32519268879,C:\ProgramData,521611,2023-08-17 14:29:28.594460672,0,C:\,31012.791518211365
Downloads,32388578462,C:\Users\teddi\Downloads,2143,2023-09-16 21:40:08.987719168,2,C:\Users\teddi,30888.155424118042
Program Files,28302931801,C:\Program Files,121401,2023-09-14 17:37:18.961599488,0,C:\,26991.77913761139
Videos,26428604676,C:\Users\teddi\Videos,130,2023-06-27 16:29:43.205747968,2,C:\Users\teddi,25204.281497955322
Anaconda3,22654903571,C:\ProgramData\Anaconda3,515799,2023-02-12 17:25:21.616240384,1,C:\ProgramData,21605.399676322937
Docker,22558541072,C:\Users\teddi\AppData\Local\Docker,197,2023-08-09 18:35:17.851307520,4,C:\Users\teddi\AppData\Local,21513.501235961914
wsl,22476226560,C:\Users\teddi\AppData\Local\Docker\wsl,2,2023-08-06 21:50:25.205082880,5,C:\Users\teddi\AppData\Local\Docker,21435.0
data,22352494592,C:\Users\teddi\AppData\Local\Docker\wsl\data,1,2023-06-08 01:15:50.974617856,6,C:\Users\teddi\AppData\Local\Docker\wsl,21317.0
exe,13443957321,C:\Users\teddi\Downloads\exe,69,2023-09-03 22:43:58.602068736,3,C:\Users\teddi\Downloads,12821.156807899475
VirtualBox VMs,12446419891,C:\Users\teddi\VirtualBox VMs,9,2023-06-07 19:50:30.879809024,2,C:\Users\teddi,11869.830981254578
Windows 11,12446419891,C:\Users\teddi\VirtualBox VMs\Windows 11,9,2023-06-07 23:03:27.345033472,3,C:\Users\teddi\VirtualBox VMs,11869.830981254578
Program Files (x86),11340324824,C:\Program Files (x86),36206,2023-08-23 22:42:58.771448832,0,C:\,10814.976524353027
SM-G975U1_15134989482,10707587388,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482,2649,2023-02-12 04:32:12.868597504,7,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1,10211.551082611084
Samsung,10707587388,C:\Users\teddi\Documents\Samsung,2649,2023-02-12 03:41:50.136833024,3,C:\Users\teddi\Documents,10211.551082611084
SmartSwitch,10707587388,C:\Users\teddi\Documents\Samsung\SmartSwitch,2649,2023-02-12 03:41:50.136833024,4,C:\Users\teddi\Documents\Samsung,10211.551082611084
backup,10707587388,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup,2649,2023-02-12 03:41:50.136833024,5,C:\Users\teddi\Documents\Samsung\SmartSwitch,10211.551082611084
SM-G975U1,10707587388,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1,2649,2023-02-12 03:48:28.171026688,6,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup,10211.551082611084
WinSxS,10576176810,C:\Windows\WinSxS,80368,2023-09-14 16:46:40.595047680,1,C:\Windows,10086.228189468384
Installer,9881839202,C:\Windows\Installer,1337,2023-09-16 21:46:33.576817920,1,C:\Windows,9424.056245803833
System32,9844864766,C:\Windows\System32,19098,2023-09-14 17:54:03.850917632,1,C:\Windows,9388.794675827026
pkgs,9497097745,C:\ProgramData\Anaconda3\pkgs,231669,2023-07-10 03:04:11.301617152,2,C:\ProgramData\Anaconda3,9057.138199806213
Old HP docs,9377141350,C:\Users\teddi\Documents\Old HP docs,6131,2022-10-21 03:22:27.853753088,3,C:\Users\teddi\Documents,8942.73886680603
Xavier,8478052983,C:\Users\teddi\Documents\Xavier,5461,2023-08-24 23:06:38.024977664,3,C:\Users\teddi\Documents,8085.301383018494
envs,8393935047,C:\ProgramData\Anaconda3\envs,160590,2023-07-06 03:50:15.149149184,2,C:\ProgramData\Anaconda3,8005.080267906189
